City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,san patricio,28.017,-97.5169,28.92,75,57,5.22,US,1683559615
328,tual,-5.6667,132.75,27.72,83,99,6.55,ID,1683559813
329,chippewa falls,44.9369,-91.3929,13.8,85,100,4.12,US,1683559814
330,khanty-mansiysk,61.0042,69.0019,2.06,51,0,4.02,RU,1683559814
331,at taj,24.2049,23.2857,30.32,10,78,3.16,LY,1683559814
332,gaalkacyo,6.7697,47.4308,30.28,51,65,3.97,SO,1683559815
333,iramuco,19.95,-100.9167,20.06,49,40,0.0,MX,1683559815
334,san jose del cabo,23.0589,-109.6977,28.91,31,0,1.03,MX,1683559815
335,marsh harbour,26.5412,-77.0636,23.91,64,79,4.27,BS,1683559815
336,yuli,9.6989,10.2744,39.91,17,70,1.78,NG,1683559816
337,richmond,37.5538,-77.4603,27.44,66,75,5.66,US,1683559444
338,noumea,-22.2763,166.4572,24.44,99,99,1.64,NC,1683559271
339,argostolion,38.1811,20.489,20.04,83,40,2.57,GR,1683559816
340,quellon,-43.1167,-73.6167,9.14,87,100,0.0,CL,1683559817
341,tianpeng,30.9866,103.9393,14.26,90,100,2.21,CN,1683559817
342,fada,9.5667,8.3,36.45,15,83,2.87,NG,1683559817
343,san matias,-16.3667,-58.4,28.72,73,100,0.81,BO,1683559817
344,roma,43.2128,-75.4557,17.63,72,20,4.12,US,1683559284
345,maddela,16.3414,121.6849,23.25,98,100,0.34,PH,1683559818
346,mirpur sakro,24.5474,67.6277,28.44,70,0,5.76,PK,1683559818
347,altsasu,42.9,-2.1652,23.89,34,92,3.86,ES,1683559683
348,cooper's town,26.8667,-77.5167,23.3,61,11,2.79,BS,1683559818
349,ketchikan,55.3422,-131.6461,6.99,87,75,0.0,US,1683559819
350,riosucio,5.4216,-75.7032,24.49,49,55,0.57,CO,1683559664
351,tazovsky,67.4667,78.7,-9.8,94,100,2.93,RU,1683559819
352,fauske,67.2588,15.3918,14.02,53,92,1.47,NO,1683559819
353,gobabis,-22.45,18.9667,25.1,17,0,3.33,NA,1683559820
354,inyonga,-6.7167,32.0667,23.6,63,56,1.6,TZ,1683559637
355,mugia,43.1041,-9.2179,18.98,95,92,5.49,ES,1683559820
356,simanggang,1.2472,111.4528,24.99,94,78,1.54,MY,1683559820
357,piton saint-leu,-21.2196,55.3151,24.06,69,100,1.54,RE,1683559821
358,harlingen,26.1906,-97.6961,29.47,84,75,10.8,US,1683559821
359,gaiman,-43.2897,-65.4929,15.58,35,6,4.37,AR,1683559821
360,shakawe,-18.3667,21.85,26.75,24,22,2.66,BW,1683559821
361,kijang,35.2442,129.2139,10.85,64,100,1.88,KR,1683559822
362,tyuratam,45.6507,63.3156,24.27,10,20,1.53,KZ,1683559822
363,arno,60.1167,18.6333,7.1,42,13,4.44,SE,1683559822
364,santa helena de goias,-17.8136,-50.5969,28.44,44,9,1.69,BR,1683559822
365,gebeit,21.0667,36.3167,29.55,27,0,6.19,SD,1683559823
366,el-tor,28.2364,33.6254,30.08,19,20,11.32,EG,1683559823
367,roswell,34.0232,-84.3616,22.76,88,75,4.63,US,1683559823
368,nuuk,64.1835,-51.7216,4.34,75,40,3.09,GL,1683559789
369,les trois-bassins,-21.1,55.3,20.96,95,93,1.78,RE,1683559572
370,betio village,1.358,172.9211,28.27,81,100,5.78,KI,1683559824
371,waspan,14.7419,-83.9717,33.79,37,88,2.63,NI,1683559824
372,hamilton,39.1834,-84.5333,24.23,70,0,2.57,US,1683559398
373,archangelos,36.2149,28.1149,22.39,61,87,1.54,GR,1683559824
374,abepura,-2.6333,140.5833,25.45,89,20,1.03,ID,1683559825
375,ulladulla,-35.35,150.4667,10.26,78,63,4.1,AU,1683559825
376,al bardiyah,31.7561,25.0865,20.57,53,0,3.4,LY,1683559825
377,barkhan,29.8977,69.5256,24.51,26,0,1.99,PK,1683559825
378,dwarka,22.2394,68.9678,27.93,77,1,5.89,IN,1683559826
379,chazuta,-6.5742,-76.1367,30.47,85,59,0.49,PE,1683559826
